voltage1 (V),voltage2 (V)
1.686301461836604,1.3207903073213905
1.7034269844660788,1.3255404522843106
1.7019269386883145,1.322165349284341
1.6919266335032197,1.3080399182103946
1.7058020569475387,1.2946645100253305
1.7274277169103063,1.2947895138401442
1.7086771446882534,1.2991646473586231
1.6864264656514176,1.2914144108401746
1.691426618243965,1.2826641438032167
1.7019269386883145,1.2815391094698936
1.7031769768364513,1.2854142277291176
1.705677053132725,1.2867892696920682
1.703676992095706,1.2851642200994904
1.717552415540025,1.2807890865810114
1.7543035370952484,1.2749139072847682
1.723552598651082,1.2747889034699547
1.6876765037995543,1.3020397350993378
1.7086771446882534,1.334415723136082
1.7461782891323587,1.3410409253212072
1.744553239539781,1.3210403149510177
1.7181774346140937,1.298789635914182
1.7048020264290291,1.3054148380993071
1.6970517899105808,1.3346657307657093
1.691426618243965,1.3606665242469558
1.6879265114291817,1.36216657002472
1.6874264961699272,1.3572914212469864
1.6936766869106112,1.3565413983581043
1.70617706839198,1.3615415509506514
1.7090521561326946,1.359416486098819
1.7058020569475387,1.3562913907284768
1.7125522629474779,1.3652916653950622
1.7169273964659566,1.3700418103579821
1.710427198095645,1.3657916806543169
1.7154273506881925,1.3667917111728265
1.7444282357249672,1.387917355876339
1.730677816095462,1.4205433515427108
1.6816763206884975,1.432668721579638
1.669175939207129,1.4265435346537676
1.66717587817011,1.4167932370983
1.6931766716513565,1.4135431379131442
1.7360529801324502,1.4244184698019349
1.7356779686880093,1.4435440534684285
1.6800512710959197,1.4589195226905116
1.6505503707998903,1.4630446485793636
1.666050843836787,1.4562944425794244
1.7115522324289683,1.447419171727653
1.7344279305398724,1.4582945036164434
1.6690509353923155,1.4774200872829373
1.620924466689047,1.493670583208716
1.623299539170507,1.5140462050233467
1.651800408948027,1.5125461592455824
1.6900515762810144,1.51042109439375
1.6499253517258217,1.5161712698751793
1.6329248329111608,1.5192963652455214
1.6519254127628407,1.5264215826899015
1.6810513016144293,1.5392969756157109
1.662800744651631,1.5580475478377636
1.6267996459852903,1.5647977538377027
1.6369249549851985,1.5711729483932007
1.6449251991332745,1.5885484786523028
1.6404250617999818,1.5920485854670858
1.63154979094821,1.5805482345042268
1.6236745506149481,1.5736730246894741
1.631174779503769,1.5712979522080142
1.6425501266518143,1.5572975249488816
1.6556755272072514,1.5439221167638173
1.6553005157628102,1.5431720938749351
1.640675069429609,1.5469222083193457
1.6620507217627492,1.5399219946897795
1.684301400799585,1.5296716818750573
1.675676137577441,1.530546708578753
1.6409250770592365,1.5354218573564866
1.6341748710592976,1.5320467543565173
1.6488003173924985,1.5249215369121372
1.649050325022126,1.51992138431959
1.6466752525406658,1.5140462050233467
